Highlight,Book Title,Book Author,Amazon Book ID,Highlighted at
"Equal consideration of interests is not the same as equal treatment, he points out; children have an interest in being educated, pigs in rooting around in the dirt. But where their interests are the same, the principle of equality demands they receive the same consideration.",The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,B000SEIDR0,2013-02-26 04:56:00+00:00
In the same way we’d call that exclusion “racist” the animal rightist contends it is “speciesist” to discriminate against the chimpanzee solely because he’s not human.,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,B000SEIDR0,2013-02-26 04:56:00+00:00
"By the same token we might call sex—also now technically unnecessary for reproduction—a mere recreational preference. Rather, our meat eating is something very deep indeed.",The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,B000SEIDR0,2013-02-26 04:56:00+00:00
"“we are the better for it, and they are never the worse….",The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,B000SEIDR0,2013-02-26 04:56:00+00:00
"the special genius of fungi is the ability to break down organic molecules and minerals into simple molecules and atoms through the action of their powerful enzymes. The hyphae surround or penetrate the plant’s roots, providing them with a steady diet of elements in exchange for a drop of simple sugars that the plant synthesizes in its leaves. The network of hyphae vastly extends the effective reach and surface area of a plant’s root system, and while trees can survive without their fungal associates, they seldom thrive.",The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,B000SEIDR0,2013-02-26 04:56:00+00:00
"The slightly sulfurous, meaty odor of morels attracts flies, which lay eggs in the safety of the mushroom’s hollow stalk. Larvae emerge and feed on the flesh of the morels; birds then return to the forest to feed on the larvae, in the process dropping seeds that sprout on the forest floor. Mushrooms are hinges in nature, now turning toward death, now toward new life.",The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,B000SEIDR0,2013-02-26 04:56:00+00:00
"I made a thick soup of organic flour and spring water (the idea is to avoid any chemicals that might harm your yeast); then, after briefly exposing the mixture to the air on a windowsill, I sealed it in an airtight container and left it out on the kitchen counter overnight.",The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,B000SEIDR0,2013-02-26 04:56:00+00:00
Bud was running out of money and getting tired of eating the free food from the public matter compilers.,The Diamond Age (Bantam Spectra Book),Neal Stephenson,B000FBJCKI,2013-05-14 04:56:00+00:00
Equity Lords,The Diamond Age (Bantam Spectra Book),Neal Stephenson,B000FBJCKI,2013-05-14 04:56:00+00:00
"“In your Primer you have a resource that will make you highly educated, but it will never make you intelligent. That comes from life.",The Diamond Age (Bantam Spectra Book),Neal Stephenson,B000FBJCKI,2013-05-14 04:56:00+00:00
"“After people have the things they need to live, everything else is entertainment. Everything. This is Madame Ping's business.”",The Diamond Age (Bantam Spectra Book),Neal Stephenson,B000FBJCKI,2013-05-14 04:56:00+00:00
"The names are pulled out of a hat. The participants have only a few hours' warning. Here, the ritual is done with a cliff and a rope, because there happened to be a cliff in the vicinity. In other R.D.R. nodes, the mechanism might be different.",The Diamond Age (Bantam Spectra Book),Neal Stephenson,B000FBJCKI,2013-05-14 04:56:00+00:00
"the word “robot” originally appeared in Karl Capek’s play R.U.R., which was first staged in 1921 in Czechoslovakia, but was soon translated into many languages.",The Caves of Steel (The Robot Series Book 1),Isaac Asimov,B004JHYRAO,2013-06-04 04:56:00+00:00
(The word “robot” is from a Czech word meaning “compulsory labor.”),The Caves of Steel (The Robot Series Book 1),Isaac Asimov,B004JHYRAO,2013-06-04 04:56:00+00:00
"“Let’s call it I, Robot,” he said. “We can’t,” I said. “Eando Binder wrote a short story with that title ten years ago.” “Who cares?” said the publisher",The Caves of Steel (The Robot Series Book 1),Isaac Asimov,B004JHYRAO,2013-06-04 04:56:00+00:00
"no one, however philosophical, could give up those privileges, once acquired, without a pang. That was the point.",The Caves of Steel (The Robot Series Book 1),Isaac Asimov,B004JHYRAO,2013-06-04 04:56:00+00:00
Our lives in the Outer Worlds are too long to risk and too comfortable to upset.”,The Caves of Steel (The Robot Series Book 1),Isaac Asimov,B004JHYRAO,2013-06-04 04:56:00+00:00
It was easier to drink to the man than to talk of him.,"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R. R. Martin,B000FCKGPC,2013-06-19 04:56:00+00:00
"“kissing up, kicking down.”",Give and Take: Why Helping Others Drives Our Success,Adam M. Grant Ph.D.,B00AFPTSI0,2013-06-19 04:56:00+00:00
"If all four cables were to fail, he said, the main span would not collapse. It would sag at the center, but it would not fall.",The Great Bridge: The Epic Story of the Building of the Brooklyn Bridge,David McCullough,B000QXDGL6,2013-07-02 04:56:00+00:00
Niagara was how to get a wire over the gorge and its violent river. Ellet solved that nicely by offering five dollars to the first American boy to fly a kite over to the Canadian side.,The Great Bridge: The Epic Story of the Building of the Brooklyn Bridge,David McCullough,B000QXDGL6,2013-07-02 04:56:00+00:00
"Once the kite string was across, a succession of heavier cords and ropes was pulled over, and in a short time the first length of wire went on its way.",The Great Bridge: The Epic Story of the Building of the Brooklyn Bridge,David McCullough,B000QXDGL6,2013-07-02 04:56:00+00:00
The advantages of modern engineering are in many ways over balanced by the disadvantages of modern civilization.,The Great Bridge: The Epic Story of the Building of the Brooklyn Bridge,David McCullough,B000QXDGL6,2013-07-02 04:56:00+00:00
"When the income tax came along in 1913, it was as though the country was coming apart at the seams.",The Great Bridge: The Epic Story of the Building of the Brooklyn Bridge,David McCullough,B000QXDGL6,2013-07-02 04:56:00+00:00
"In 1865, nine years after Sikhdar’s computations had been confirmed, Waugh bestowed the name Mount Everest on Peak XV, in honor of Sir George Everest, his predecessor as surveyor general.",Into Thin Air,Jon Krakauer,B000FC1ITK,2013-08-05 04:56:00+00:00
"The first eight expeditions to Everest were British, all of which attempted the mountain from the northern, Tibetan, side—not so much because it presented the most obvious weakness in the peak’s formidable defenses but rather because in 1921 the Tibetan government opened its long-closed borders to foreigners, while Nepal remained resolutely off limits.",Into Thin Air,Jon Krakauer,B000FC1ITK,2013-08-05 04:56:00+00:00
"And thus, shortly before noon on May 29, 1953, did Hillary and Tenzing become the first men to stand atop Mount Everest.",Into Thin Air,Jon Krakauer,B000FC1ITK,2013-08-05 04:56:00+00:00
"There are fourteen so-called 8,000-meter peaks: mountains that stand more than 8,000 meters (26,246 feet) above sea level. Although it is a somewhat arbitrary designation, mountaineers have always attached special prestige to ascents of 8,000-meter peaks. The first person to climb all fourteen of them was Reinhold Messner, in 1986. To date, only four other climbers have repeated the feat.",Into Thin Air,Jon Krakauer,B000FC1ITK,2013-08-05 04:56:00+00:00
"Just beyond the top of the Second Step they came upon the other two Ladakhis, Smanla and Morup. According to an article in the Financial Times written by the British journalist Richard Cowper, who interviewed Hanada and Shigekawa at 21,000 feet immediately after their ascent, one of the Ladakhis was “apparently close to death, the other crouching in the snow. No words were passed. No water, food or oxygen exchanged hands. The Japanese moved on and 160 feet farther along they rested and changed oxygen cylinders.”",Into Thin Air,Jon Krakauer,B000FC1ITK,2013-08-05 04:56:00+00:00
"Apsley Cherry-Garrard        The Worst Journey in the      World, an account of           Robert Falcon Scott’s          doomed 1912                     expedition to the                South Pole",Into Thin Air,Jon Krakauer,B000FC1ITK,2013-08-05 04:56:00+00:00
edifying,Into Thin Air,Jon Krakauer,B000FC1ITK,2013-08-05 04:56:00+00:00
"culpability,",Into Thin Air,Jon Krakauer,B000FC1ITK,2013-08-05 04:56:00+00:00
IMAX,Into Thin Air,Jon Krakauer,B000FC1ITK,2013-08-05 04:56:00+00:00
"Upon her return to Manhattan, Sandy Pittman found that she’d become a lightning rod for a great deal of public anger over what had happened on Everest. Vanity Fair magazine published a withering article about her in its August 1996 issue.",Into Thin Air,Jon Krakauer,B000FC1ITK,2013-08-05 04:56:00+00:00
"astonished that a people should come 3,000 miles at such risk, trouble and expense to rob, plunder and destroy another people because they will not lay their lives and fortunes at their feet.",1776,David McCullough,B000FCK5YE,2013-08-17 04:56:00+00:00
"Again, as on Long Island, the enemy effort had gone like clockwork. But why their commanders had delayed in crossing the island, why they had not pushed straight on to the Hudson, remained a puzzle. Had they advanced another mile or so, they could have cut the island in two, just as Nathanael Greene had predicted, sealing off any chance Putnam and his troops had to escape. In explanation, a romantic story spread—a story that would become legendary—that a Mrs. Robert Murray, a Quaker and an ardent patriot, had delayed William Howe and his generals by inviting them to afternoon tea at her country home at Inclenberg, later known as Murray Hill.",1776,David McCullough,B000FCK5YE,2013-08-17 04:56:00+00:00
"“There is no doubt . . . that the flames were communicated to several houses by means of the burning flakes of the shingles, which being light, were carried by the wind to some distance and . . . kindled the fire anew.”",1776,David McCullough,B000FCK5YE,2013-08-17 04:56:00+00:00
It was commonly understood that eighteenth-century professional armies and their gentlemen commanders did not subject,1776,David McCullough,B000FCK5YE,2013-08-17 04:56:00+00:00
"themselves to the miseries of winter campaigns, unless there were overriding reasons to the contrary.",1776,David McCullough,B000FCK5YE,2013-08-17 04:56:00+00:00
"In a bad season, Smoke deaths in the Bowery averaged one a day. Government agents trying to hunt down suppliers of the poor man’s cocktail swore that it was served right from cans stenciled with the word POISON—and that people didn’t care. They just gambled that it wouldn’t kill them and drank it anyway.",The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York,Deborah Blum,B004P1JDM6,2013-10-07 04:56:00+00:00
"There it shreds cellular energy mechanisms, breaks down cellular respiration, and causes rapid cell death due to oxygen starvation. Cellular respiration suffers an instant “paralysis,” as Gettler once put it, and the body begins to die. Enzyme production is stymied, electrical signals falter, and as muscle cells and nerve cells explosively fail, body-rattling convulsions frequently result.",The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York,Deborah Blum,B004P1JDM6,2013-10-07 04:56:00+00:00
"Like arsenic, bismuth was a metallic element used in medicines. In particular, it was a key ingredient in antinausea and antidiarrhea formulas. One of the most popular brands, Bismosal, had been developed in 1901 by a pediatrician seeking to alleviate infant cholera. The solution, wintergreen in taste and colored pink, was renamed Pepto-Bismol in 1919. Annie Creighton’s doctor had not suggested that she take Pepto-Bismol, but he had prescribed another, very similar bismuth formula.",The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York,Deborah Blum,B004P1JDM6,2013-10-07 04:56:00+00:00
"Constitutional amendment no less, its supporters had assumed citizens would, however reluctantly, obey the law. The succeeding years had proved them wrong. Many now drank more than ever, more recklessly, more adventurously.",The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York,Deborah Blum,B004P1JDM6,2013-10-07 04:56:00+00:00
"By 1926 federal chemists had devised ten new formulas dedicated to deterring bootleggers and their customers. But the black market chemists proved able in countering these moves. In the spring, formula number six, which included mercury bichloride, was overcome.",The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York,Deborah Blum,B004P1JDM6,2013-10-07 04:56:00+00:00
"Much later Hoover’s friends would reveal that the experiment had been a little too noble for Hoover, who regularly stopped by the Belgian embassy on his way home from Commerce. Since the embassy was technically on foreign soil, he could drink there legally and be guaranteed some very good-quality alcohol as well.",The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York,Deborah Blum,B004P1JDM6,2013-10-07 04:56:00+00:00
"Essentially, the Gettler and Freireich study showed how the body of a habitual drinker adjusted, became more efficient in metabolizing ethyl alcohol. The liver generated more enzymes to break the alcohol down.",The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York,Deborah Blum,B004P1JDM6,2013-10-07 04:56:00+00:00
"CASE 9: Male, age 35, found dead, one gas stove jet open and not lighted; a coffee pot had boiled over and extinguished the flame. Saturation 75 percent.",The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York,Deborah Blum,B004P1JDM6,2013-10-07 04:56:00+00:00
"But the clear green line that Crookes saw in the spectroscope was unknown, leading him to realize that he’d found a new element. He named his discovery thallium, for its unique spectroscopic color.",The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York,Deborah Blum,B004P1JDM6,2013-10-07 04:56:00+00:00
"AS THE U.S. Public Health Service noted in a review of thallium’s use in medicine, every animal tested—mice, rats, guinea pigs, dogs, rabbits, and apes—lost its hair or fur when taking a daily dose of thallium.",The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York,Deborah Blum,B004P1JDM6,2013-10-07 04:56:00+00:00
"In the same way that radium takes advantage of the body’s natural affinity for calcium, thallium tends to move rapidly along potassium-uptake channels into the nuclei of cells.",The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York,Deborah Blum,B004P1JDM6,2013-10-07 04:56:00+00:00
"“To the memory of Charles Norris, First Chief Medical Examiner of The City of New York.” Alexander Gettler remained New York City’s chief toxicologist until January",The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York,Deborah Blum,B004P1JDM6,2013-10-07 04:56:00+00:00
"Dieser letzte Vorgang ist freilich vorbildlich, arische Pflanzen beanspruchen hier selbstverständlich völlig zu Recht den ihnen zustehenden Siedlungsraum.",Er ist wieder da: Der Roman (German Edition),Timur Vermes,B008NW1M4K,2015-05-29 04:56:00+00:00
"Den jungen Türken wurden ganz offensichtlich nur die einfachsten Sprachkenntnisse beigebracht. Korrekter Satzbau war kaum zu erkennen, es glich eher einem Sprachverhau, von geistigem Stacheldraht durchzogen, von mentalen Granaten zerpflügt wie die Schlachtfelder der Somme.",Er ist wieder da: Der Roman (German Edition),Timur Vermes,B008NW1M4K,2015-05-29 04:56:00+00:00
Sprachsalat.,Er ist wieder da: Der Roman (German Edition),Timur Vermes,B008NW1M4K,2015-05-29 04:56:00+00:00
"dass am Ende eines Krieges die wertvollsten Elemente des Volkes selbstlos an der Front gefallen sind und nur noch der mittelmäßige bis minderwertige Ausschuss übrig bleibt, der sich dann natürlich zu schade oder widersinnigerweise sogar zu fein ist, dem Amerikaner aus dem Untergrunde heraus ein anständiges Blutbad zu bereiten.",Er ist wieder da: Der Roman (German Edition),Timur Vermes,B008NW1M4K,2015-05-29 04:56:00+00:00
"Jemand wandte sich unbekannterweise mit einem militärischen Problem an mich, und da ich ja derzeit gerade keinen Staat zu leiten hatte, beschloss ich kurzfristig, jenen Volksgenossen zu unterstützen. Die nächsten dreieinhalb Stunden verbrachte ich daher mit einer Minenräum-Übung namens Minesweeper",Er ist wieder da: Der Roman (German Edition),Timur Vermes,B008NW1M4K,2015-05-29 04:56:00+00:00
"When one turned the current on or off in Oersted’s wire, one energized or de-energized the field surrounding the wire, and this change interacted with the magnetic field surrounding the compass needle, causing the needle to swing. As we shall see, this realization that a changing field can induce a current or produce motion was essential",Tesla: Inventor of the Electrical Age,W. Bernard Carlson,B00CHRQ1C0,2015-05-29 04:56:00+00:00
"Faraday’s laws of electromagnetic induction boiled down to this: if one wanted to build an electric generator, then one moved a conductor through a magnetic field and a current was induced in the conductor.",Tesla: Inventor of the Electrical Age,W. Bernard Carlson,B00CHRQ1C0,2015-05-29 04:56:00+00:00
"Fontaine had demonstrated for the first time that power could be transmitted from one place to another without having to use inefficient shafts, belts, or ropes to connect a steam engine with the machines.",Tesla: Inventor of the Electrical Age,W. Bernard Carlson,B00CHRQ1C0,2015-05-29 04:56:00+00:00
"Many forces—such as gravity, magnetism, or electric currents—commonly manifest themselves as linear forces, in the sense that they provide pushes or pulls in a single direction. To secure the desired rotary motion from these linear forces, one needed some sort of conversion device. For examples of these conversion devices, one need only look at how a waterwheel transforms the linear flow of a river or how the crank and flywheel on a steam engine converts the back-and-forth motion of the piston into rotary motion. For Pöschl, the commutator served as a conversion device, converting the linear electric current into a series of alternating pulses that caused the",Tesla: Inventor of the Electrical Age,W. Bernard Carlson,B00CHRQ1C0,2015-05-29 04:56:00+00:00
carousing,Tesla: Inventor of the Electrical Age,W. Bernard Carlson,B00CHRQ1C0,2015-05-29 04:56:00+00:00
"Edison took a liking to Puskás and showed him all of his current inventions, including the phonograph. Thrilled with everything he saw, Puskás offered to take out patents in Europe for Edison’s telephone and phonograph at his own expense in return for a one-twentieth interest.",Tesla: Inventor of the Electrical Age,W. Bernard Carlson,B00CHRQ1C0,2015-05-29 04:56:00+00:00
arc-lighting,Tesla: Inventor of the Electrical Age,W. Bernard Carlson,B00CHRQ1C0,2015-05-29 04:56:00+00:00
